Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,AIAN,Asian,Black,Highly.Rural,Hispanic,Men,Missing,Mood.Anxiety,Multirace,NHOPI,No.Mental.Health,Other.Mental.Health,Other.Rural,PTSD,Serious.Mental.Illness,Substance.Abuse,Unknown,Urban,White,Women,X18.44,X45.64,X65.,X65.74,X75.84,X85.
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,1 encounter,NA,NA,NA,NA,NA,NA,NA,43117,NA,NA,101665,2152,NA,8826,9272,4912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,2 encounters,NA,NA,NA,NA,NA,NA,NA,39451,NA,NA,84289,1820,NA,7542,8615,4402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,3-5 encounters,NA,NA,NA,NA,NA,NA,NA,51363,NA,NA,106292,2454,NA,10057,12283,5806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,6-11 encounters,NA,NA,NA,NA,NA,NA,NA,41910,NA,NA,75062,1872,NA,8103,11066,5090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,B. VHA Outpatient Utilization,"B6. Distribution of SMI among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",SMI by Fee Outpatient Services,Encounters,Fee Outpatient Services,12+ encounters,NA,NA,NA,NA,NA,NA,NA,110234,NA,NA,173588,4753,NA,17548,31268,12220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,INFECTIOUS DISEASE,NA,NA,NA,NA,NA,NA,NA,335833,NA,NA,642590,17296,NA,57308,96815,51352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,ENDOCRINE/METABOLIC/NUTRITIONAL,NA,NA,NA,NA,NA,NA,NA,788913,NA,NA,2335974,40663,NA,148569,179795,101883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,CARDIOVASCULAR ,NA,NA,NA,NA,NA,NA,NA,723932,NA,NA,2259979,36427,NA,134507,158704,110797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,RESPIRATORY,NA,NA,NA,NA,NA,NA,NA,415428,NA,NA,888588,20617,NA,71354,98839,55320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,GASTROINTESTINAL,NA,NA,NA,NA,NA,NA,NA,521165,NA,NA,1120052,25025,NA,89978,124230,79692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,URINARY,NA,NA,NA,NA,NA,NA,NA,217342,NA,NA,581884,11214,NA,34203,55386,26901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,REPRODUCTIVE HEALTH,NA,NA,NA,NA,NA,NA,NA,327076,NA,NA,878567,17174,NA,59145,67304,36667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,BREAST,NA,NA,NA,NA,NA,NA,NA,14757,NA,NA,21117,785,NA,1704,3748,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,CANCER,NA,NA,NA,NA,NA,NA,NA,111069,NA,NA,401377,6248,NA,20042,20441,16782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,HEMATOLOGIC/IMMUNOLOGIC,NA,NA,NA,NA,NA,NA,NA,141765,NA,NA,355114,6993,NA,20975,37783,26411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,MUSCULOSKELETAL,NA,NA,NA,NA,NA,NA,NA,752170,NA,NA,1626948,40034,NA,146857,156412,91595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,NEUROLOGIC,NA,NA,NA,NA,NA,NA,NA,424575,NA,NA,713877,20255,NA,71627,102589,40505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,MENTAL HEALTH/SUD,NA,NA,NA,NA,NA,NA,NA,1149541,NA,NA,BT,68220,NA,235025,261730,164616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,SENSE ORGAN,NA,NA,NA,NA,NA,NA,NA,532703,NA,NA,1557207,27965,NA,110438,115157,61717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,DENTAL,NA,NA,NA,NA,NA,NA,NA,158360,NA,NA,182450,5911,NA,49452,54634,12684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,DERMATOLOGIC,NA,NA,NA,NA,NA,NA,NA,308136,NA,NA,737198,16884,NA,59111,73829,39850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C1. Distribution of SMI among FY13 Veteran VHA Patients by Domain, FY13 ",SMI by Domains,Domains,NA,OTHER,NA,NA,NA,NA,NA,NA,NA,775809,NA,NA,1378050,41565,NA,137337,190056,120288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,INFECTIOUS DISEASE,HIV/AIDS ,NA,NA,NA,NA,NA,NA,NA,7898,NA,NA,13161,366,NA,661,2637,1679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,INFECTIOUS DISEASE,Tuberculosis,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,3169,119,NA,286,774,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,INFECTIOUS DISEASE,Mycoses,NA,NA,NA,NA,NA,NA,NA,87521,NA,NA,201921,4889,NA,17656,25977,10540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,INFECTIOUS DISEASE,Infections - Other,NA,NA,NA,NA,NA,NA,NA,57716,NA,NA,103530,3049,NA,8807,16650,8718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Diabetes Mellitus,NA,NA,NA,NA,NA,NA,NA,280254,NA,NA,900489,13360,NA,56515,66985,27821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Lipid Disorders,NA,NA,NA,NA,NA,NA,NA,569944,NA,NA,1773730,28301,NA,109428,123300,67872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Overweight/Obesity,NA,NA,NA,NA,NA,NA,NA,233864,NA,NA,504250,13035,NA,41637,56500,23602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Thyroid Disorders ,NA,NA,NA,NA,NA,NA,NA,92720,NA,NA,263444,4346,NA,13858,26377,7436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Osteoporosis,NA,NA,NA,NA,NA,NA,NA,15845,NA,NA,40367,715,NA,1738,3363,1543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Vitamin D Deficiency,NA,NA,NA,NA,NA,NA,NA,68615,NA,NA,143808,3434,NA,11447,17037,9077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,"Endocrine, Metabolic and Nutritional Disorders - Other",NA,NA,NA,NA,NA,NA,NA,169815,NA,NA,380779,8596,NA,28417,42188,25489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Fluid and Electrolyte Disorders,NA,NA,NA,NA,NA,NA,NA,63901,NA,NA,102779,2739,NA,7714,23855,15573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Hypertension,NA,NA,NA,NA,NA,NA,NA,607142,NA,NA,1903511,29880,NA,114429,132624,95299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Chest Pain/Angina,NA,NA,NA,NA,NA,NA,NA,94524,NA,NA,127567,3865,NA,13570,24003,11195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Acute MI,NA,NA,NA,NA,NA,NA,NA,9346,NA,NA,17085,443,NA,1290,2416,1780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Coronary Artery Disease,NA,NA,NA,NA,NA,NA,NA,181301,NA,NA,629644,8184,NA,30879,30466,18798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Heart Failure,NA,NA,NA,NA,NA,NA,NA,63682,NA,NA,172280,3060,NA,8724,14086,10414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Valvular Disease,NA,NA,NA,NA,NA,NA,NA,31620,NA,NA,105891,1689,NA,4949,6250,4763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Atrial Fibrillation/Flutter,NA,NA,NA,NA,NA,NA,NA,53811,NA,NA,217422,2819,NA,8106,9915,8433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Arrhythmia/Conduction Disorder - Other ,NA,NA,NA,NA,NA,NA,NA,76553,NA,NA,183678,3683,NA,10648,18435,10522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Cardiac Conditions - Other,NA,NA,NA,NA,NA,NA,NA,19507,NA,NA,36966,916,NA,2967,5110,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Cerebrovascular Accident/TIA ,NA,NA,NA,NA,NA,NA,NA,53935,NA,NA,137466,2555,NA,7303,11387,7574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Cerebrovascular Disease - Other ,NA,NA,NA,NA,NA,NA,NA,32682,NA,NA,67990,1522,NA,3718,8865,3886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Pecondition Aortic Aneurysm ,NA,NA,NA,NA,NA,NA,NA,15094,NA,NA,51139,737,NA,2621,2603,2267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Pulmonary Embolism or Deep Vein Thrombosis,NA,NA,NA,NA,NA,NA,NA,22089,NA,NA,49590,1068,NA,2907,5829,3038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Vascular Disease - Other ,NA,NA,NA,NA,NA,NA,NA,73011,NA,NA,201173,3913,NA,11936,15704,12518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,CARDIOVASCULAR ,Circulatory System Conditions - Other ,NA,NA,NA,NA,NA,NA,NA,56951,NA,NA,117696,3134,NA,8366,14744,9584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,RESPIRATORY,Chronic Obstructive Pulmonary Disease,NA,NA,NA,NA,NA,NA,NA,136038,NA,NA,302371,5327,NA,21543,35398,25362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,RESPIRATORY,Asthma ,NA,NA,NA,NA,NA,NA,NA,53426,NA,NA,101370,2679,NA,8948,13028,4464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,RESPIRATORY,Sarcoidosis,NA,NA,NA,NA,NA,NA,NA,2991,NA,NA,6122,164,NA,459,674,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,RESPIRATORY,Pneumonia ,NA,NA,NA,NA,NA,NA,NA,27771,NA,NA,44393,1129,NA,3500,9491,5032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,RESPIRATORY,Respiratory System Infections - Other ,NA,NA,NA,NA,NA,NA,NA,115898,NA,NA,194046,5663,NA,19289,30644,11993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,RESPIRATORY,Allergic and other chronic sinusitis/rhinitis ,NA,NA,NA,NA,NA,NA,NA,124930,NA,NA,252409,6751,NA,22030,24601,10365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,RESPIRATORY,"Dyspnea, cough and other respiratory symptoms ",NA,NA,NA,NA,NA,NA,NA,111430,NA,NA,188552,5179,NA,17147,27310,14094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,RESPIRATORY,Respiratory Conditions - Other ,NA,NA,NA,NA,NA,NA,NA,82083,NA,NA,152550,3864,NA,12429,21428,13806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Esophageal disorders ,NA,NA,NA,NA,NA,NA,NA,285708,NA,NA,567731,12380,NA,46734,63858,30841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Nausea and vomiting ,NA,NA,NA,NA,NA,NA,NA,26184,NA,NA,25961,932,NA,2996,7726,3207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastroduodenal ulcer ,NA,NA,NA,NA,NA,NA,NA,13903,NA,NA,27336,595,NA,1998,3444,2732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastric/Duodenal Disorders - Other ,NA,NA,NA,NA,NA,NA,NA,36398,NA,NA,50940,1507,NA,5338,9252,6067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal hemorrhage ,NA,NA,NA,NA,NA,NA,NA,30730,NA,NA,49930,1482,NA,4888,8477,6605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,"Polyp, colorectal ",NA,NA,NA,NA,NA,NA,NA,76992,NA,NA,210969,3878,NA,15750,16148,14431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Diverticulosis and diverticulitis ,NA,NA,NA,NA,NA,NA,NA,36014,NA,NA,88411,1786,NA,6457,7335,5750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Inflammatory Bowel Disease ,NA,NA,NA,NA,NA,NA,NA,8554,NA,NA,21920,433,NA,1205,1510,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Diarrhea/constipation and functional bowel disorders ,NA,NA,NA,NA,NA,NA,NA,89776,NA,NA,117243,3672,NA,11687,25741,7854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Hernia ,NA,NA,NA,NA,NA,NA,NA,39654,NA,NA,86384,2150,NA,6718,9423,6843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Hemorrhoids ,NA,NA,NA,NA,NA,NA,NA,38303,NA,NA,75511,2017,NA,7172,9016,5615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Hepatitis C ,NA,NA,NA,NA,NA,NA,NA,47418,NA,NA,47010,1597,NA,7470,20094,17700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Liver disease - Other,NA,NA,NA,NA,NA,NA,NA,57786,NA,NA,89568,2785,NA,10079,16018,21216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Biliary tract disease ,NA,NA,NA,NA,NA,NA,NA,12780,NA,NA,22577,589,NA,1878,3351,2358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Pancreatic disorders,NA,NA,NA,NA,NA,NA,NA,9966,NA,NA,11858,384,NA,1333,2794,3348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal System Disorders - Other ,NA,NA,NA,NA,NA,NA,NA,82967,NA,NA,138732,4069,NA,12600,22218,12073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,URINARY,Renal failure or Nephropathy ,NA,NA,NA,NA,NA,NA,NA,81608,NA,NA,261908,4168,NA,12565,21946,12285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,URINARY,Calculus of urinary tract ,NA,NA,NA,NA,NA,NA,NA,24962,NA,NA,57836,1347,NA,4326,4588,2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,URINARY,Hematuria ,NA,NA,NA,NA,NA,NA,NA,25887,NA,NA,66237,1403,NA,4578,6246,3874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,URINARY,Kidney/Ureter Diseases - Other ,NA,NA,NA,NA,NA,NA,NA,20620,NA,NA,54117,1065,NA,3278,5433,2962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,URINARY,Urinary Tract Infection (cystitis/ urethritis/ pyelonephritis) ,NA,NA,NA,NA,NA,NA,NA,39597,NA,NA,73138,2055,NA,4970,13890,4790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13 ",SMI by Conditions,Conditions,URINARY,Urinary Incontinence ,NA,NA,NA,NA,NA,NA,NA,37678,NA,NA,64332,1873,NA,4558,10609,2250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
